Digital source name,Digital source code,Compositions,Composer
© KBR,"<a href=""https://opac.rism.info/metaopac/singleHit.do?methodToCall=showHit&curPos=1&identifier=251_SOLR_SERVER_408600826""> © KBR </a>",Corrò la fresca e matutina rosa,"Ruffo, Vincenzo"
© KBR,"<a href=""https://opac.rism.info/metaopac/singleHit.do?methodToCall=showHit&curPos=1&identifier=251_SOLR_SERVER_408600826""> © KBR </a>",Ingiustissimo Amor perché sì raro,"Ruffo, Vincenzo"
© British Library,"<a href=""https://repository.royalholloway.ac.uk/items/e46ad592-abbd-2a48-3264-47008b2252a5/1/""> © British Library </a>",Vide lontano o le parve vedere,"Baratto, Francesco"
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00075412""> © Bayerische Staatsbibliothek </a>",Era il bel viso suo qual esser suole,"Barré, Antonio"
© British Library,"<a href=""https://repository.royalholloway.ac.uk/items/104ae069-afd2-74d2-ef5a-6ca1103f5a0a/1/""> © British Library </a>",Dunque fia ver dicea,"Barré, Antonio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_S/S006/""> © Biblioteca della Musica di Bologna </a>",Già in ogni parte gli animanti lassi,"Cimello, Giovanni Tommaso"
© British Library,"<a href=""https://repository.royalholloway.ac.uk/items/104ae069-afd2-74d2-ef5a-6ca1103f5a0a/1/""> © British Library </a>",Fedel qual sempre fui tal esser voglio,"Danckerts, Ghiselin"
IMSLP,"<a href=""https://imslp.org/wiki/Falsi_bordoni_per_cantar_salmi_(Asola%2C_Giammateo)""> IMSLP </a> ",Hymni,"Asola, Giovanni Matteo"
IMSLP,"<a href=""https://imslp.org/wiki/Falsi_bordoni_per_cantar_salmi_(Asola%2C_Giammateo)""> IMSLP </a> ",Letanie (Kyrie),"Asola, Giovanni Matteo"
IMSLP,"<a href=""https://imslp.org/wiki/Falsi_bordoni_per_cantar_salmi_(Asola%2C_Giammateo)""> IMSLP </a> ",Letanie Beata Viriginis,"Asola, Giovanni Matteo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R360/""> © Biblioteca della Musica di Bologna </a>","Falsibordoni (Regole, Passaggi di Musica)","Bovicelli, Giovanni Battista"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R360/""> © Biblioteca della Musica di Bologna </a>",Magnificat passaggiato (Giovannelli),"Bovicelli, Giovanni Battista"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00071831?page=,1""> © Bayerische Staatsbibliothek </a>",De Profundis,"Cantone, Serafino"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_C/C125/""> © Biblioteca della Musica di Bologna </a>",Falsibordoni (Il Scolaro Principiante),"Cavalliere, Giovanni Filippo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_C/C125/""> © Biblioteca della Musica di Bologna </a>",Hinno per il Natale (Christe Redemptor omnium),"Cavalliere, Giovanni Filippo"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00071832?page=,1""> © Bayerische Staatsbibliothek </a>",Nisi Dominus,"Ratti, Bartolomeo"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00071908?q=%28giulio+fiesco%29&page=2,3""> © Bayerische Staatsbibliothek </a>",Crudel di che che peccato a doler t'hai?,"Fiesco, Giulio"
© British Library,"<a href=""https://repository.royalholloway.ac.uk/items/104ae069-afd2-74d2-ef5a-6ca1103f5a0a/1/""> © British Library </a>",Il dolce sonno mi promise pace,"Lupacchino, Bernardino"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00071911?page=,1""> © Bayerische Staatsbibliothek </a>",Sotto due negri e sottilissimi archi,"Lupacchino, Bernardino"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",Verovio - La verginella è simile alla rosa,Anonymous
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00071900?q=%28madrigali+de+la+fama%29&page=,1""> © Bayerische Staatsbibliothek </a>",La verginella è simile alla rosa,"dalla Viola, Francesco"
IMSLP,"<a href=""https://imslp.org/wiki/Musiche_sacre_e_morali_(Mazzocchi%2C_Domenico)""> IMSLP </a> ",Vide nel mezzo dell'ombrosa notte - La Notte del Santissimo Natale,"Mazzocchi, Domenico"
IMSLP,"<a href=""https://imslp.org/wiki/Musiche_sacre_e_morali_(Mazzocchi%2C_Domenico)""> IMSLP </a> ",Giunto alla cuna - Per la Natività di Nostro Signore,"Mazzocchi, Domenico"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b8528539x.r=mario%20savioni?rk=150215;2"" >© Bibliothèque nationale de France </a>",Ai disusati accenti - Per il Santissimo Natale,"Savioni, Mario"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b8528539x.r=mario%20savioni?rk=150215;2"" >© Bibliothèque nationale de France </a>",Già la metà della carriera oscura - Per il Santissimo Natale,"Savioni, Mario"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA324/""> © Biblioteca della Musica di Bologna </a>",Filli quell'Auree crespe ,"Milanuzzi, Carlo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA324/""> © Biblioteca della Musica di Bologna </a>","Ut re mi fa solo la, la dove Amore sfavilla (Scherzo Boscaroccio)","Milanuzzi, Carlo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA324/""> © Biblioteca della Musica di Bologna </a>",Dolce è languir (Penar Soave),"Milanuzzi, Carlo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R229/""> © Biblioteca della Musica di Bologna </a>",Tu che passato mio buon tempo sai,"Dentice, Luigi"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R229/""> © Biblioteca della Musica di Bologna </a>",Cantai un tempo e si fu dolce il canto,"Dentice, Luigi"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R229/""> © Biblioteca della Musica di Bologna </a>",E dove non potea la debil voce,"Rodio, Rocco"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b9067638n.r=corradi?rk=236052;4"" >© Bibliothèque nationale de France </a>","Sono lacci, donne belle","Corradi, Flaminio"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b9067638n.r=corradi?rk=236052;4"" >© Bibliothèque nationale de France </a>",Filli vita del mio core,"Corradi, Flaminio"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b9067638n.r=corradi?rk=236052;4"" >© Bibliothèque nationale de France </a>",Oh di Euterpe il dolce canto,"Corradi, Flaminio"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b9067638n.r=corradi?rk=236052;4"" >© Bibliothèque nationale de France </a>",Filli mia pena mi date,"Corradi, Flaminio"
© Biblioteca del Conservatorio di musica Luigi Cherubini ,"<a href="""" >© Biblioteca del Conservatorio di musica Luigi Cherubini  </a>",Queste non son più lagrime che fuore,"Tromboncino, Bartolomeo"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k859939j?rk=21459;2"" >© Bibliothèque nationale de France </a>",L'Allemande,"Pécour, Louis-Guillaume "
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k10484872.r=Recueil%20de%20dances%20compos%C3%A9es%20par%20M.%20Pecour?rk=21459;2"" >© Bibliothèque nationale de France </a>",La Bourgogne,"Pécour, Louis-Guillaume "
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k10484872.r=Recueil%20de%20dances%20compos%C3%A9es%20par%20M.%20Pecour?rk=21459;2"" >© Bibliothèque nationale de France </a>",Le Menuet d'Alcide,"Pécour, Louis-Guillaume "
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k1048483d?rk=21459;2"" >© Bibliothèque nationale de France </a>",Gigue de Roland,"Lully, Jean-Baptiste"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k859949w.r=IIe%20Recueil%20de%20danses%20de%20bal%20pour%20l%27ann%C3%A9e%201704?rk=21459;2"" >© Bibliothèque nationale de France </a>",Sarabande de Tancrède,"Campra, André"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_V/V134/""> © Biblioteca della Musica di Bologna </a>",Dov'io credea le mie speranze avere,"Stafani, Giovanni"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_Z/Z159/""> © Biblioteca della Musica di Bologna </a>",Deh Florinda,"Franzoni, Amante"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb11451961?q=%28%22lodi+della+musica%22+verovio%29&page=,1""> © Bayerische Staatsbibliothek </a>",Ai dolci e vaghi accenti,"Nanino, Giovanni Maria"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb11451961?q=%28%22lodi+della+musica%22+verovio%29&page=,1""> © Bayerische Staatsbibliothek </a>",Se dunqu'il dolce canto,"de Macque, Giovanni"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb11451961?q=%28%22lodi+della+musica%22+verovio%29&page=,1""> © Bayerische Staatsbibliothek </a>",E da verdi boschetti,"Giovannelli, Ruggiero"
