Page Name,Show Name,Compositions
Verovio - Lodi della Musica a3 (1595),Lodi della Musica a3 (1595),E da verdi boschetti
Verovio - Lodi della Musica a3 (1595),Lodi della Musica a3 (1595),Al suon di Cornamusa
Verovio - Lodi della Musica a3 (1595),Lodi della Musica a3 (1595),Quand'il fido Pastore
Verovio - Canzonette a Quattro Voci (1592),Canzonette a Quattro Voci (1592),Se'l raggio de vostr'occhi m'arde il core
Verovio - Canzonette a Quattro Voci (1592),Canzonette a Quattro Voci (1592),O mio soave foco
Verovio - Canzonette a Quattro Voci (1592),Canzonette a Quattro Voci (1592),Tal da vostri occhi foco
Verovio - Canzonette a Quattro Voci (1592),Canzonette a Quattro Voci (1592),Pose un gran foco nel mio petto Amore
Verovio - Canzonette a Quattro Voci (1592),Canzonette a Quattro Voci (1592),Spesso il canto ad amare
Saracini - Le Terze Musiche (1620),Le Terze Musiche (1620),Ahi Serpentella
Kapsberger - Libro Secondo di Villanelle (1619),Libro Secondo di Villanelle (1619),D'una guancia alma ridente
Severi - Salmi Passaggiati per Tutte le Voci (1615),Salmi Passaggiati per Tutte le Voci (1615),Confitebor tibi Domine
Verovio - Diletto Spirituale (1583),Diletto Spirituale (1583),O gloriosa donna Alta sopra le Stelle
Giacobbi - Dramatodia (1608),"Dramatodia, Canti rappresentativi sopra L'Aurora Ingannata (1608)","O Monti, o colli, o prati a voi riede"
Andreini - Musiche composte per La Maddalena (1617),Musiche composte per La Maddalena (1617),Sulle penne de venti il Ciel varcando (Prologo La Maddalena)
Andreini - Musiche composte per La Maddalena (1617),Musiche composte per La Maddalena (1617),Da la fonte del core
Andreini - Musiche composte per La Maddalena (1617),Musiche composte per La Maddalena (1617),Spazziam pront'oh vecchiarelle
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),Bella Filli io son ferito
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),Gioite di mille tormenti
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),Dove son iti tanti piacer d'Amor
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),"Corri Filli, corri al prato"
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),I Bei legami che stan'intorno
Guazzi - Spiritosi Affetti (1622),Spiritosi Affetti (1622),Così m'ha fatt'Amor (Romanesca)
Brunetti - L'Euterpe (1606),L'Euterpe (1606),Porto nel fianco il dardo
Brunetti - L'Euterpe (1606),L'Euterpe (1606),"Care gioie, che le noie"
Brunetti - L'Euterpe (1606),L'Euterpe (1606),Crudel così dileggi al mio tormento
Silvestri - Ariette di Musica (1646),Ariette di Musica (1646),Belle stelluzze d'oro
