composer,title
Girolamo Giacobbi,"O Monti, o colli, o prati a voi riede"
Claudio Monteverdi,Sulle penne de venti il Ciel varcando (Prologo La Maddalena)
Alessandro Guivizzani,Da la fonte del core
Salomone Rossi,Spazziam pront'oh vecchiarelle
Eleuterio Guazzi,Bella Filli io son ferito
Eleuterio Guazzi,Gioite di mille tormenti
Eleuterio Guazzi,Dove son iti tanti piacer d'Amor
Eleuterio Guazzi,"Corri Filli, corri al prato"
Eleuterio Guazzi,I Bei legami che stan'intorno
Eleuterio Guazzi,Così m'ha fatt'Amor (Romanesca)
Domenico Brunetti,Porto nel fianco il dardo
Domenico Brunetti,"Care gioie, che le noie"
Domenico Brunetti,Crudel così dileggi al mio tormento
Florido de Silvestri,Belle stelluzze d'oro
Anonymous,O voi per cui m'è dolce ogni tormento
Bellerofonte Castaldi,Chi vidde più lieto e felice di me
Bellerofonte Castaldi,Ahi chi fia che consoli il dolor mio
Serafino Razzi,Leviam'i nostri cori
Serafino Razzi,Stabat Mater 
Serafino Razzi,Ave Virgo gratiosa
Francisco Soto de Langa,Alto Re delle genti
Francisco Soto de Langa,Donna celeste che di Dio sei Madre
Benedetto Ferrari,Io son amante d'un crin aurato
Benedetto Ferrari,Torni al lido il nocchiero
Giovanni Antonio Rigatti,O Dolcezza incredibile d'amore
Bartolomeo Barbarino,O Bone Iesu
Emilio de Cavalieri,Chi gioia vuol chi brama gustar spassi
Emilio de Cavalieri,Questa vita mortale
Scipione delle Palle,Dura legge d'Amor
Rocco Rodio,Ben s'io non ero di pietat'un raggio
Rocco Rodio,Nel tempo che rinnova i miei sospiri
Giulio Renaldi,L'Empio tuo strale Amore
Francesco Menta,O dolorosi amanti
Giulio Fiesco,Se quando per Adone over per Marte
Giovanni Domenico da Nola,Tosto ch'il sol si scopre in Oriente
Hoste da Reggio,Chi vive senza mai trovar riposo
Anonymous,La nocte quando ognun riposa e tace
Anonymous,Modo de cantar sonetti
Anonymous,Non fu sì crudo el dipartir de Enea
Antonio Caprioli Brixien,Aer de versi latini
Marchetto Cara,Quicunque ille fuit puerum qui pinxit Amorem
Filippo de Lurano,Aer de Capituli
Filippo de Lurano,Dissimulare etiam sperasti perfide tantum
Anonymous,Fama malum quo non aliud velocius ullum
Michele Pesenti,Inhospitas per Alpes
Michele Pesenti,Integer vitae scelerisque purus
Stefano Rossetti,O crudelis Alexi
Ludwig Senfl,Vivamus mea Lesbia atque amemus
Petrus Tritonis,Lidia dic per omnes
Bartolomeo Tromboncino,Integer vitae scelerisque purus
Bartolomeo Tromboncino,Non al suo amante più Diana piacque
Luigi Rossi,La Predica del Sole
Ludovico Zacconi,Prattica di Musica (Selezione di Passaggi)
Giovanni Battista Chiodino,Arte Pratica (Selezione di Contrappunti)
Francesco Soriano,Missa in Papae Marcelli a8
Luca Marenzio,Le dubbie spemi il pianto e'l van dolore
Gasparo Pratoneri,Dolce contrade
Orazio Colombano,Tirrena mia
Luca Marenzio,Vedi le valli ei campi che si smaltano
Tommaso Pecci,Non han tant'onde i mari
Orazio Vecchi,O Bella Primavera
Francesco Soriano,Ameni colli vaghi Monticelli
Costanzo Porta,Il cantar novo e'l pianger degli augelli
Claude le Jeune,Vorria che tu cantassi una canzona
Stefano Landi,Quando Rinaldo invitto
Stefano Landi,Coro d'Angeli e Balletto delle Virtù
Michelangelo Rossi,"Erminia sul Giordano (Atto 2, Scena 4)"
Domenico Anglesi,Hor che l'empie catene
Giovanni Pietro Berti,Occhi miei tristi
Giovanni Bononcini,Ninfa ingrata
Giovanni Bononcini,Mio Caro ben
Henry Carey,The Artfull Shepherdess
Henry Carey,The Sun was in his highest Strength
Henry Carey,The Wheedler
John Eccles,Fly ye lazy Hours
Georg Frideric Handel,Bacchus' Speech in Praise of Wine
Johann Christoph Pepusch,The Spring
Johann Christoph Pepusch,When Love's soft passion
Nicola Porpora,D'amore il primo dardo
